[-163.62821782 -287.89034398]
[194.6915563  129.16152365]
[245.0178841  272.72306429]
[271.71953458 135.74537852]
[151.26004299 187.55728419]
[244.59304659  85.65066377]
[211.98065309 105.9599438 ]
[156.29546557 220.24716284]
[146.86604125 194.61057358]
[228.05399003  83.33942465]
[128.74298086 173.47039859]
[153.09099394 198.41960594]
[196.6963667  161.48806243]
[294.18003577 174.45799155]
[284.15529382  96.08674925]
[ 88.07702401 224.86744363]
[148.10359791 154.92301673]
[293.70044281 190.71334049]
[108.576323   201.74374102]
[137.75369909 218.29309305]
[188.75512172 209.21739482]
[237.13954669 101.48817776]
[130.13660123 212.75531595]
[217.74126943 249.52010004]
[ 38.70003442 191.77651061]
[174.02538202 111.21180454]
[205.55616604 227.43838967]
[270.77008286  98.810003  ]
[218.38697357 276.48175716]
[ 99.10019954 195.20545896]
[ 39.48600446 150.05262458]
[143.56169428 192.85154865]
[228.07946054 300.93538632]
[ 99.07644034 208.12668761]
[301.95527436 220.22517583]
[177.68095136 239.74559503]
[204.30105489 260.29453734]
[150.31264517 163.80445948]
[171.37770491 162.16918392]
[188.87715603 251.0627007 ]
[172.48547433 205.21176481]
[130.33752747 191.20924104]
[102.12222862 185.76895496]
[136.19303689 299.03939117]
[161.37243473 200.3771044 ]
[126.36336619 108.55919102]
[160.60070063 190.17833279]
[229.21131367 227.3885746 ]
[101.22886237 179.09052503]
[202.38595724 301.05671272]
[242.67208647 206.19474478]
[231.88861286 184.84365461]
[133.40594443 299.68532943]
[194.48370882 182.29916013]
[190.7636293  260.70504599]
[179.46981183 173.09935065]
[206.4977851  172.11033428]
[ 84.19274912 185.39362027]
[118.29834334 127.59276649]
[238.93273091 151.22962365]
[246.6433867  243.88755263]
[218.56451949 255.73549287]
[157.45632003 239.00414561]
[249.65038781 204.83849191]
[205.23884202 124.42120306]
[159.39287904 152.69827501]
[275.11440146 211.29557714]
[329.66848713 142.16720598]
[118.60390103 153.223157  ]
[234.74967464  83.20296229]
[231.11050881  60.46058633]
[165.96646313 121.40867102]
[242.71750578 120.75813969]
[304.96123068 214.78279838]
[137.25282919  73.20073585]
[282.04932672 214.01100695]
[ 40.34695101 165.35767105]
[287.08927184 158.06883308]
[ 92.5639499  259.11456573]
[196.94817651 215.53680099]
[243.34282459 181.74162906]
[154.98678907 260.58318097]
[157.73907005 141.1938391 ]
[145.06829805 158.6199562 ]
[222.62914177 274.51903432]
[212.23279281 137.64271287]
[176.02619859 155.19901929]
[170.19428332 206.03570757]
[199.25609116 143.0329079 ]
